	average
UreiTV1I9i-XF6_bJhK6Iw	152.41228070175438
EZ6g9a17UdMjtR-wrZebmA	138.1578947368421
EiuyyJ6_sGxNsxU_L1X0pA	190.78947368421046
sF9R5Ac6kEauAswt7UVyiw	189.9122807017544
ArAyrioD75AC01DF-Jo1DQ	155.40935672514618
oAufOk5iCZZ6zG7SRhW8Mg	115.35087719298244
JcNSd3dXmIMVHP2CUpvMHA	160.23391812865495
6v4Mb2bKRY-FKr5so9ORhw	165.35087719298247
1csYUsGUX4vwHH-YmRTgQg	88.59649122807018
kWVbvqydGgfZ-NpXFp0sYg	165.3508771929825
BcJTMU2UrdtPiLreF0oV0g	160.17543859649123
b5HHW6QDrtPwiQDOFSaz4A	188.5964912280702
ruHz-qN-j21kg0iyIgGE9Q	113.59649122807018
71erAbvLJh_kf1VvYXafPw	190.3508771929825
yjAopbJkhIrguNBvQ7Z3Pg	189.9122807017544
nnbG-XPXHeomn7KtHItmHg	140.3508771929825
WfaukdRoD7hWVa6541nZAg	165.35087719298247
YbdrUXB6GZ-ErPqAcmSP6A	163.1578947368421
1l_O3VEl9TV_JjKAzzyz0Q	159.75877192982455
MVweU6TF16a1q6D4Zw-PCw	138.5964912280702
mCLrwowWkJz-cKl9BY_Ubw	155.4093567251462
xaYW9NG_EzRMjWRLZTwBFQ	165.35087719298247
V4TPbscN8JsFbEFiwOVBKw	137.62183235867448
lf00pYEXIGjpfGtoOr5yOA	190.3508771929825
ytUUuM8gGC_qOEqkxiQ6OA	116.66666666666669
u47LXIdE3oSrFXn-V7LKQw	164.25438596491227
uaV1KNnaWH87ddVazSx6vw	166.00877192982455
aIXQsTXzuZQrJEoLMQLeZA	127.19298245614036
OSMKcAfGoI6iCFCK28GAIA	189.4736842105263
FPOzqYVBZ_9E23kfP9LPnA	139.91228070175438
TJiMx1yk98BCV1kwEuD3_A	102.19298245614036
mnJvynzRIYptrjyKtEBiTA	163.5964912280702
tExYv8ba4Bd-E0SR9xxcRQ	113.59649122807018
KieobnKADEUOUDn5KYzfrw	90.35087719298244
XIfp03iXdhNtGWKYhciFQA	190.3508771929825
5lV78uqJ807XysXt-dK_KQ	187.71929824561403
vxOzWqd10UcWngevY0KKsw	183.77192982456143
FSzxEJHeDjEB6Lsotqc1Qg	177.85087719298244
DF-J1Vv2qw-1AaVzVPc5aQ	189.4736842105263
kt2Z6LCOol1TjEY-2uLy0A	190.3508771929825
3TqOpmtJtPofb1hBrPwJNQ	190.3508771929825
eWyhZ-114SqkZkG0RyJG9A	157.30994152046785
3IOBf3pKHwxF3NO6k6NA9Q	190.78947368421046
x8Gi17U93UFZnucEhUYRlw	156.4327485380117
awle-8Er3nj4uNg9kM-Ggg	189.4736842105263
8T_rJh6lkj-cpkYQIrnf6A	189.03508771929825
Jr-bTnChd-aTzMxb42avHg	164.91228070175438
veqfgg2AkKs_L70fx1Quag	147.14912280701753
f_lQqLgao5DF2lcT3ymGfw	162.5
5NHOfKibxU5cvC_6OaX7tg	85.52631578947368
MRnkYgiZXzStz3GbWMKmtA	164.03508771929825
OZErOKA1RaH2J6flZhU-zA	172.51461988304095
os832o4NXDKxcTYEBN1Mmg	166.2280701754386
2e5V6M4GNufEnbGJpVdCjw	157.58771929824564
qKbI45LTGu5_5u6vnLk_NQ	88.59649122807019
8tcDXg5HwAVW9ctnCIr3ew	189.9122807017544
KQm9OgdujLZiMRTksmj83w	128.21637426900585
tokvzAJsfEuu90jK5mb08g	136.4035087719298
gqinfPcl3Dky9AOb0hyD0w	192.98245614035088
dqNRPhVGZXPzTWDFGQO0ew	149.67105263157896
n1MUh0PfMHdUmDkB1hXSYA	176.97368421052633
wYG3U9H63XKDrrb1d1QJ0g	189.4736842105263
dM2T5Dn51TJb_m45NUFUFg	166.2280701754386
_i-joRZc2-d5VzgI-j3PCA	141.2280701754386
GQ4kol0vIEqCkM4oMQhcqw	189.9122807017544
wix14bBFkrxWEQCY55Ln0g	165.35087719298247
gAU4dNCmw54cmF-TRyT5kw	164.4736842105263
ZpMZ0d4rBprRvRfSSAGEYg	191.66666666666669
tQV_zGWjSHxUEr6Xmxz88Q	166.66666666666669
sabwyIBd5jMWNimKVNllaQ	167.10526315789474
0_nrYU_QKIHQ3zc1w5Rm3w	191.66666666666669
eBJ-35_qhrWA4cScqdMHAw	83.77192982456141
lwitXluu7LQAsdecPd1jbw	189.9122807017544
P_7xr521TT3MZxBwf0OqxA	86.84210526315788
ocB1WhramMTkICc5sZ1bUQ	155.7017543859649
eV5usRjY2cDqNKVv8wXroA	139.4736842105263
H1UIUub1lH7r2TZfqTvOEA	114.03508771929823
7A7FOLZZKL0iokQVOAEbgA	187.28070175438597
4KQ_INZcDdjC8xw5p0nDrw	176.53508771929825
XNtS76qYyvRy4K1dsbvfMA	189.9122807017544
tWBLn4k1M7PLBtAtwAg73g	155.87719298245617
Jmh4k-WRMmu4bJxWxJX_jQ	90.7894736842105
4NPGD8ZmuzHUz4DUqPAkkw	88.59649122807018
KCwfAJkgpi3-J1Es1qlLyg	160.96491228070175
sW-CNHEKz3Qy1L8c1EkaOA	157.4561403508772
Vj85_qC5gBAREeelZJoU3w	189.03508771929825
YDW9pzW5XLb4yyBmba2cfw	186.84210526315792
GMvzY8qTWyCkJuw37yEYmA	164.91228070175438
tHMx7OxcPd7Tu4U3Z50oFw	188.5964912280702
tKlH_Ia9W60M6n9VNwV1Tg	190.78947368421046
lsZlV02ZdqEzR-qILdT7Cw	146.71052631578948
kjeX2RXvW7RhBbD2QLd5jA	148.6842105263158
b3W6QCbEQYMNM19N_12sXQ	145.28508771929825
GpvyQ8TlZE4G4WRjvd7-nw	190.78947368421046
7IIFBDW2_6QT5FA9p_VKKA	189.03508771929825
2Egv8FVBX-uqsZEsko-Xvw	132.60233918128654
ltUb21ZilinnvIjGbO9FAQ	88.59649122807018
uSLdXuyqfqhIznNjkYgedg	165.35087719298247
O1kfcTkvVUnMoS_PZ8L_vQ	189.9122807017544
LXAK_qAtdwZ8tkDUabP6lA	190.3508771929825
olnTacPoKxP_uFRS-__4bQ	110.96491228070177
XOhEoGQOmjs4a8vyPO04dg	114.03508771929823
Hhsq-82AjiQA3qoLBgbJcQ	140.78947368421052
FnnDKFawJYpmCPML3Hw24w	164.4736842105263
ZUnIapT2slq7Kc28gfgiew	89.91228070175438
ooJgBYenPjp3xUm0fQItVw	164.4736842105263
P_6qaRLAGkmjD30FBhiexQ	190.3508771929825
cSzEBzXGQFj_P0LQLNI1fQ	189.03508771929825
1XrB44t6fDgSabcsWbI0Qw	147.07602339181287
GMLquL0UzqtED-TybTx0uA	190.5701754385965
ZrKS7shqchdlPDBadbmm-w	166.2280701754386
DoRCeCcJbrsM2BiAKj3trA	130.84795321637426
LVExZUPR7Ix2Ot9iUrE0Lw	165.35087719298247
0eaSfDE66uojuFNdQdJb4w	192.10526315789474
OZDoBGGHY7iENO6T23Xz_g	191.22807017543857
fy2g2nxiVbHq2zBLFvCqwg	191.22807017543857
VqqWco9k-CPcQKFfLj4Jjg	134.21052631578948
Tf3VaWx72MWrLJiuaEbftw	149.56140350877195
IttUu_kCkT6BpET59PWiXQ	89.47368421052632
dBTf7jdq2by4Fy-AlHxaow	192.10526315789474
FT7S4x4YI_ja_GofDmjAhg	189.03508771929825
MHDc0L3GB8M-5rxXFpqImg	190.78947368421046
2YDVlNagKGSJZuYfdMYLzQ	113.15789473684212
isUWTFK9Q1CCfPkVqKCAxQ	191.22807017543857
HbvzphlSrnMtN09Z719e8w	164.91228070175438
zYtQ7s0XBACCjKb4KqCyPA	186.84210526315792
atXRV9crRDO2VzP6XOquJg	157.60233918128654
6tZ2Jm2T5JiH368_KWkFLQ	191.66666666666669
3P4MFrcDFFubXIELndHx0g	115.35087719298244
yVBr6IFDo5lC665Z8PylBA	84.21052631578948
Xb0NtBLY-2GfJ8DT_4noAg	173.3918128654971
PlovJwAs4dPH0_GYpiGZgg	156.57894736842107
4nai1I2R5NOYsBzuIQZ1Yw	138.1578947368421
hVRpLwPfgRaU6sllAHpnAw	190.78947368421046
qZB8BZ2ZzMF0VfIGhttu7w	184.79532163742692
q1ybEj3OUAoWeWMMTWTCpg	190.78947368421046
vBA9qfbTpSoY5BWvA7LEKg	190.3508771929825
g3iN0sBWxn20oPxJDlVHJg	139.47368421052633
XEwrRCVkoNppALs_dqa9VQ	114.03508771929823
U9m6UmME0QyZ7wqMhM7akg	190.3508771929825
f-eoW1jeCLNRXrx5E05kxg	147.51461988304092
iw2xq3ZADvfmfZRDFCORbA	89.47368421052632
s_Gk1WmqkQkuj-VUpeQKUQ	165.78947368421052
7BJFCZsiiXQFlFSlWglcpA	175.87719298245614
UM2DX24m-xKrAF3BLODQNw	166.66666666666669
uA9jGdZMh8FJ0p-IZhhKgQ	89.47368421052632
CxDOIDnH8gp9KXzpBHJYXw	144.7651386530843
I8bqYEknUTFjnRn4-RNdJg	165.35087719298247
QXpbyvuYxYoO42DkhhjO3A	89.47368421052632
h3Iydnd3iXDD_cAln6HhlQ	88.59649122807018
-UL91n7QIE61crlfyFagew	190.3508771929825
_rTESPunrM4Rgr_GKlk8eg	190.78947368421046
GXfrchFxdldoJXSEqUcdNw	126.97368421052633
Rdwtwvkahsx7M0fenTzCoQ	151.75438596491227
--2HUmLkcNHZp0xw6AMBPg	188.81578947368422
UmBJuGTOR1pn4QHqCuroHQ	137.28070175438594
Pw4xPBqlJSZYiVPFf0yGmw	188.5964912280702
xRwkIKoQJH8jqKQ1oAivvw	189.4736842105263
3Z0qWxM8ZCoDLzErwZyaWA	188.15789473684208
