business_id	name	address	city	state	postal_code	latitude	longitude	stars	review_count	Access.dogs	Access.wheelchair	Ambience.casual	Ambience.classy	Ambience.divey	Ambience.hipster	Ambience.intimate	Ambience.romantic	Ambience.touristy	Ambience.trendy	Ambience.upscale	Equip.OutdoorSeating	Equip.TV	Equip.WiFi	Good4Meal.breakfast	Good4Meal.brunch	Good4Meal.dessert	Good4Meal.dinner	Good4Meal.latenight	Good4Meal.lunch	Parking.Bike	Parking.car	Pay.CreditCards	Pay.DriveThru	Pay.PriceRange	Service.alcohol	Service.caters	Service.delivery	Service.reservations	Service.takeout	Style.Attire	Style.GoodForGroups	Style.GoodForKids	Style.NoiseLevel	CAT.Dessert	CAT.Drink	CAT.Food.Cheesesteaks	CAT.Food.HotDogs	CAT.Food.Poke	CAT.Food.Buffets	CAT.Food.Ramen	CAT.Food.ChickenWings	CAT.Food.Pizza	CAT.Food.Kebab	CAT.Food.Tacos	CAT.Food.Salad	CAT.Food.Soup	CAT.Food.Noodles	CAT.Food.FastFood	CAT.Food.Sandwiches	CAT.Food.Burgers	CAT.Food.Barbeque	CAT.Food.Seafood	CAT.Food.Steakhouses	CAT.Food.Tapas	CAT.Food.Sushi	CAT.Alcohol.Wine	CAT.Alcohol.Beer	CAT.Cuisine.EU.Mediterranean	CAT.Cuisine.EU.Belgian	CAT.Cuisine.EU.French	CAT.Cuisine.EU.German	CAT.Cuisine.EU.Spanish	CAT.Cuisine.EU.ModernEU	CAT.Cuisine.AS.Mideastern	CAT.Cuisine.AF.African	CAT.Cuisine.AM.Caribbean	CAT.Cuisine.AM.Hawaiian	CAT.Cuisine.AM.Southern	CAT.Cuisine.AM.American(Traditional)	CAT.Cuisine.AM.Canadian(New)	CAT.Cuisine.AM.American(New)	CAT.Cuisine.AS.Chinese	CAT.Cuisine.AS.Asian	CAT.Cuisine.AS.Indian	CAT.Cuisine.AS.Vietnamese	CAT.Cuisine.AS.Japanese	CAT.Cuisine.AS.Korean	CAT.Cuisine.AS.Thai	CAT.Special.Gluten-Free	CAT.Special.Halal	CAT.Special.Vegan	CAT.Special.Vegetarian	HOURS.Monday.Breakfast	HOURS.Monday.Lunch	HOURS.Monday.Afternoon	HOURS.Monday.Dinner	HOURS.Tuesday.Breakfast	HOURS.Tuesday.Lunch	HOURS.Tuesday.Afternoon	HOURS.Tuesday.Dinner	HOURS.Wednesday.Breakfast	HOURS.Wednesday.Lunch	HOURS.Wednesday.Afternoon	HOURS.Wednesday.Dinner	HOURS.Thursday.Breakfast	HOURS.Thursday.Lunch	HOURS.Thursday.Afternoon	HOURS.Thursday.Dinner	HOURS.Friday.Breakfast	HOURS.Friday.Lunch	HOURS.Friday.Afternoon	HOURS.Friday.Dinner	HOURS.Saturday.Breakfast	HOURS.Saturday.Lunch	HOURS.Saturday.Afternoon	HOURS.Saturday.Dinner	HOURS.Sunday.Breakfast	HOURS.Sunday.Lunch	HOURS.Sunday.Afternoon	HOURS.Sunday.Dinner
4GNI7HWuzQkkPmPsgHxOtw	Flancer's	1902 N Higley Rd	Mesa	AZ	85205	33.450123	-111.719349	4.0	203	None	None	True	False	False	False	False	False	False	False	False	False	True	free	False	False	False	True	False	True	True	True	True	False	2	beer_and_wine	True	False	True	True	casual	True	True	average	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	3.5	3.0	4.0	0.0	3.5	3.0	4.0	0.0	3.5	3.0	4.0	0.0	3.5	3.0	4.0	0.0	3.5	3.0	4.0	0.0	3.5	3.0	4.0
sAEFh7e7fY-W2gMWSbIAWQ	MAD Greens - Scottsdale	14418 N Scottsdale Rd, Ste 185	Scottsdale	AZ	85254	33.6175304	-111.9262592	4.0	195	None	None	True	False	False	False	False	False	False	False	False	True	False	no	False	False	False	False	False	True	True	True	True	None	2	none	True	False	False	True	casual	True	True	average	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0.0	3.5	2.0	0.0	0.0	3.5	3.0	3.5	0.0	3.5	3.0	3.5	0.0	3.5	3.0	3.5	0.0	3.5	3.0	3.5	0.0	3.5	3.0	3.5	0.0	3.5	2.0	0.0
Grr2wJ3nYD_7qUyespDglA	Corrado's	118 John Street	Toronto	ON	M5V 2E2	43.6482939644	-79.3906370695	4.5	197	None	None	True	False	False	False	False	False	False	False	False	False	True	no	False	False	False	True	False	True	True	True	True	None	1	none	True	False	False	True	casual	True	True	average	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	0.0	3.0	3.0	4.0	0.0	3.0	3.0	4.0	0.0	3.0	3.0	4.0	0.0	3.0	3.0	4.0	0.0	3.0	3.0	11.0	0.0	2.0	3.0	11.0	0.0	0.0	0.0	0.0
pBoWsom3mZFYo9EucIWRDg	Kabuki Sushi & Grill	8378 W Thunderbird Rd, Ste 107	Peoria	AZ	85381	33.611464	-112.239517	4.0	196	None	None	True	False	False	False	False	False	False	False	False	False	True	no	False	False	False	True	False	True	True	False	True	None	2	beer_and_wine	False	False	True	True	casual	True	True	average	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0
Z4UQlerXfBH8jv6XcFLeEA	The Real Crepe	7595 W Washington Ave, Ste 160	Las Vegas	NV	89128	36.1810984	-115.2592634	5.0	205	False	True	True	None	False	None	True	None	False	True	False	False	False	free	True	True	False	False	False	True	False	True	True	None	2	none	True	True	True	True	casual	True	True	quiet	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	4.0	3.0	0.0	1.0	4.0	3.0	0.0	1.0	4.0	0.0	0.0	1.0	4.0	3.0	1.0	1.5	4.0	0.0	0.0
kNvukrzit0u-NfD6xvFMrQ	Sojo Ramen	7377 S Jones Blvd, Ste 106	Las Vegas	NV	89139	36.0552179707	-115.2259209752	5.0	202	False	True	False	True	False	False	False	False	False	False	False	False	False	no	None	None	None	None	None	True	False	False	True	None	2	none	False	True	True	True	None	True	None	None	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	2.5	3.0	4.5	0.0	2.5	3.0	4.5	0.0	2.5	3.0	4.5	0.0	2.5	3.0	4.5	0.0	2.5	3.0	4.5	0.0	2.5	3.0	4.5
uoZwJJaplLsktVrRw0JiQw	Pho Number One	1955 W Baseline Rd, Ste 114	Mesa	AZ	85202	33.377582	-111.877018	4.0	201	None	None	True	True	False	False	False	False	False	False	False	False	True	no	False	False	False	True	False	True	True	False	True	None	1	none	True	True	False	True	casual	True	True	average	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	0.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	4.0	0.0	4.0	3.0	4.0	0.0	4.0	3.0	4.0	0.0	4.0	3.0	4.0	0.0	4.0	3.0	4.0
2IbXNp96PAZzjpzytN9vVg	Home of Hot Taste	5 Glen Cameron Road	Thornhill	ON	L3T 2A9	43.8055474	-79.4200575	3.5	201	None	None	True	False	False	False	False	False	False	False	False	False	True	no	False	False	False	True	True	False	True	True	None	None	2	beer_and_wine	True	False	True	True	casual	True	True	average	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0	0.0	2.5	3.0	9.0
xGv3zpEr_yH7H_sCfEyzaQ	Seed Shack	3861 E Baseline Rd K136	Gilbert	AZ	85234	33.3784208	-111.7489539	4.5	204	False	True	True	False	False	True	False	False	False	True	False	True	False	free	False	True	True	True	False	True	True	True	True	None	2	none	True	True	True	True	casual	True	True	quiet	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	0.0	0.0	0.0	0.0	0.0	3.0	3.0	4.0	0.0	3.0	3.0	4.0	0.0	3.0	2.0	0.0	0.0	3.0	3.0	4.0	0.0	4.0	3.0	4.0	0.0	4.0	2.0	0.0
lF4pEu4_55SSFEo6Q58ftQ	German Bread Bakery	2237 N Rampart Blvd	Las Vegas	NV	89134	36.202011	-115.282528	4.5	200	None	None	True	False	False	False	False	False	False	False	False	False	False	no	None	None	None	None	None	None	True	True	True	None	1	none	True	False	True	True	casual	False	True	quiet	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	2.5	4.0	2.5	0.0	2.5	4.0	2.5	0.0	2.5	4.0	2.5	0.0	2.5	4.0	2.5	0.0	2.5	4.0	2.5	0.0	2.5	4.0	2.5	0.0	1.0	3.5	0.0	0.0
